timestamp_ns,thread_index,role,event,item_id
60402,0,P,P_REQ,0
112442,1,C,C_REQ,-1
63543,1,P,P_REQ,1
141165,1,P,P_DONE,1
144759,3,C,C_REQ,-1
165880,3,C,C_DONE,1
112584,0,P,P_DONE,0
69383,2,P,P_REQ,2
243048,2,P,P_DONE,2
129390,1,C,C_DONE,0
84236,3,P,P_REQ,3
106749,0,C,C_REQ,-1
274591,0,C,C_DONE,2
127063,2,C,C_REQ,-1
286165,3,P,P_DONE,3
303653,2,C,C_DONE,3
1549594,3,C,C_REQ,-1
1558984,1,P,P_REQ,4
1562645,1,P,P_DONE,4
1567176,3,C,C_DONE,4
3504248,2,P,P_REQ,5
3506754,2,P,P_DONE,5
5356219,1,P,P_REQ,6
5358459,1,P,P_DONE,6
6655972,2,C,C_REQ,-1
6660848,2,C,C_DONE,5
6655976,1,C,C_REQ,-1
6663630,1,C,C_DONE,6
6728850,2,P,P_REQ,7
6731189,2,P,P_DONE,7
6733760,2,P,P_REQ,8
6733976,2,P,P_DONE,8
6739967,3,C,C_REQ,-1
6762335,3,C,C_DONE,7
7926326,2,P,P_REQ,9
7928696,2,P,P_DONE,9
9001810,3,P,P_REQ,10
9004955,3,P,P_DONE,10
9019074,0,P,P_REQ,11
9020641,0,P,P_DONE,11
9429009,0,C,C_REQ,-1
9431679,0,C,C_DONE,8
10392604,1,P,P_REQ,12
10394581,1,P,P_DONE,12
10421893,1,P,P_REQ,13
10428172,1,P,P_DONE,13
10422808,1,C,C_REQ,-1
10430932,1,C,C_DONE,9
10449781,0,C,C_REQ,-1
10451532,0,C,C_DONE,10
11703731,2,C,C_REQ,-1
11705850,2,C,C_DONE,11
12997605,2,C,C_REQ,-1
12999584,2,C,C_DONE,12
13729479,0,P,P_REQ,14
13731965,0,P,P_DONE,14
14221478,2,P,P_REQ,15
14223831,2,P,P_DONE,15
15501874,2,C,C_REQ,-1
15510880,2,C,C_DONE,13
15501907,1,C,C_REQ,-1
15501902,0,C,C_REQ,-1
15519775,3,C,C_REQ,-1
15521273,3,C,C_DONE,15
15522008,3,P,P_REQ,16
15545487,3,P,P_DONE,16
15551402,0,C,C_DONE,16
15514307,1,C,C_DONE,14
15568563,1,P,P_REQ,17
15570395,1,P,P_DONE,17
16895025,1,P,P_REQ,18
16897351,1,P,P_DONE,18
20608402,0,C,C_REQ,-1
20612042,0,C,C_DONE,17
20949418,0,P,P_REQ,19
20951485,0,P,P_DONE,19
22666728,3,C,C_REQ,-1
22669183,3,C,C_DONE,18
22787438,3,P,P_REQ,20
22789334,3,P,P_DONE,20
24745770,0,P,P_REQ,21
24748128,0,P,P_DONE,21
24754059,1,C,C_REQ,-1
24755499,1,C,C_DONE,19
24774127,2,P,P_REQ,22
24776215,2,P,P_DONE,22
24786954,2,P,P_REQ,23
24787140,2,P,P_DONE,23
25653891,0,C,C_REQ,-1
25655991,0,C,C_DONE,20
26802511,2,C,C_REQ,-1
26804662,2,C,C_DONE,21
26815846,0,C,C_REQ,-1
26816849,0,C,C_DONE,22
26819543,3,C,C_REQ,-1
26820666,3,C,C_DONE,23
26851849,1,P,P_REQ,24
26854035,1,P,P_DONE,24
26859091,1,C,C_REQ,-1
