timestamp_ns,thread_index,role,event,item_id
34151,0,P,P_REQ,0
69945,2,P,P_REQ,2
45500,1,P,P_REQ,1
91785,1,P,P_DONE,1
102651,2,P,P_DONE,2
152293,4,P,P_REQ,3
76757,0,P,P_DONE,0
173936,4,P,P_DONE,3
187532,0,C,C_REQ,-1
206449,0,C,C_DONE,0
211036,2,C,C_REQ,-1
215255,2,C,C_DONE,1
211411,1,C,C_REQ,-1
218308,1,C,C_DONE,2
224422,4,C,C_REQ,-1
230821,4,C,C_DONE,3
224419,3,C,C_REQ,-1
163068,3,P,P_REQ,4
285233,3,P,P_DONE,4
302925,3,C,C_DONE,4
1555024,4,C,C_REQ,-1
4125365,3,C,C_REQ,-1
5325254,1,C,C_REQ,-1
5343258,0,C,C_REQ,-1
5346919,2,P,P_REQ,5
5351151,2,P,P_DONE,5
5357097,4,C,C_DONE,5
6922848,2,C,C_REQ,-1
9029624,4,P,P_REQ,6
9036730,4,P,P_DONE,6
9038717,4,P,P_REQ,7
9041104,4,P,P_DONE,7
9044066,1,P,P_REQ,8
9072406,1,P,P_DONE,8
9045855,1,C,C_DONE,6
9084616,0,C,C_DONE,8
9051725,3,C,C_DONE,7
10369737,1,C,C_REQ,-1
11504108,3,P,P_REQ,9
11504242,0,P,P_REQ,10
11514676,3,C,C_REQ,-1
11516889,3,C,C_DONE,9
11518591,3,P,P_DONE,9
11519993,2,P,P_REQ,11
11538268,2,P,P_DONE,11
11545247,2,C,C_DONE,11
11554191,0,P,P_DONE,10
11558478,1,C,C_DONE,10
12873153,1,C,C_REQ,-1
13890648,4,P,P_REQ,12
13892139,3,P,P_REQ,13
13897056,4,P,P_DONE,12
13897426,3,P,P_DONE,13
13904848,1,C,C_DONE,12
13906876,1,C,C_REQ,-1
13907070,1,C,C_DONE,13
14939676,2,P,P_REQ,14
14941876,2,P,P_DONE,14
16531765,2,C,C_REQ,-1
16538589,2,C,C_DONE,14
16531769,0,C,C_REQ,-1
16541091,4,C,C_REQ,-1
17429003,3,C,C_REQ,-1
17447347,1,P,P_REQ,15
17453314,1,P,P_DONE,15
17457680,0,C,C_DONE,15
18936883,3,P,P_REQ,17
18936879,0,P,P_REQ,16
18949335,3,P,P_DONE,17
18949726,4,P,P_REQ,18
18951903,4,C,C_DONE,17
18959108,3,C,C_DONE,18
18962168,4,P,P_DONE,18
18966472,0,P,P_DONE,16
20016787,4,P,P_REQ,19
20019131,4,P,P_DONE,19
20498563,1,P,P_REQ,20
20500992,1,P,P_DONE,20
21509983,2,C,C_REQ,-1
21517801,2,C,C_DONE,16
21520885,2,C,C_REQ,-1
21521021,2,C,C_DONE,19
21510311,4,C,C_REQ,-1
21553393,4,C,C_DONE,20
22710917,2,P,P_REQ,21
22720679,2,P,P_DONE,21
22710960,1,C,C_REQ,-1
22723825,1,C,C_DONE,21
22762046,1,C,C_REQ,-1
23217437,3,P,P_REQ,22
23225347,3,P,P_DONE,22
23232071,1,C,C_DONE,22
24062118,2,C,C_REQ,-1
25619092,4,C,C_REQ,-1
26093682,0,C,C_REQ,-1
26649687,4,P,P_REQ,23
26650010,3,C,C_REQ,-1
26668924,4,P,P_DONE,23
26669606,2,C,C_DONE,23
26687226,2,C,C_REQ,-1
26796413,2,P,P_REQ,24
26802073,2,P,P_DONE,24
26805509,4,C,C_DONE,24
27965706,4,P,P_REQ,25
27968771,4,C,C_REQ,-1
27972073,2,P,P_REQ,26
27999861,2,P,P_DONE,26
27972077,0,P,P_REQ,27
28017253,3,C,C_DONE,26
27981807,4,P,P_DONE,25
27983281,0,C,C_DONE,25
28026824,0,P,P_DONE,27
28034149,2,C,C_DONE,27
28360466,1,C,C_REQ,-1
30512797,1,P,P_REQ,28
30561676,4,C,C_DONE,28
30574334,1,P,P_DONE,28
31603034,3,P,P_REQ,29
31618918,3,P,P_DONE,29
31678910,1,C,C_DONE,29
31831202,1,P,P_REQ,30
31833152,1,P,P_DONE,30
32776865,4,C,C_REQ,-1
32780647,4,C,C_DONE,30
32803149,0,C,C_REQ,-1
35143118,1,C,C_REQ,-1
35209175,0,P,P_REQ,31
35216066,0,P,P_DONE,31
35222029,0,C,C_DONE,31
36522790,2,C,C_REQ,-1
36530218,2,P,P_REQ,32
36532128,4,P,P_REQ,33
36538694,2,P,P_DONE,32
36548386,2,C,C_DONE,32
36549345,4,P,P_DONE,33
36556824,1,C,C_DONE,33
39027942,0,C,C_REQ,-1
39038240,1,P,P_REQ,34
39042505,1,P,P_DONE,34
39047309,0,C,C_DONE,34
39055533,3,C,C_REQ,-1
39364045,0,P,P_REQ,35
39371233,0,P,P_DONE,35
39373405,0,P,P_REQ,36
